1	1.376	3.078	6.314	12.706	31.82	63.656	318.294
2	1.061	1.886	2.92	4.303	6.965	9.925	22.327
3	0.978	1.638	2.353	3.182	4.541	5.841	10.214
4	0.941	1.533	2.132	2.776	3.747	4.604	7.173
5	0.92	1.476	2.015	2.571	3.365	4.032	5.893
6	0.906	1.44	1.943	2.447	3.143	3.707	5.208
7	0.896	1.415	1.895	2.365	2.998	3.499	4.785
8	0.889	1.397	1.86	2.306	2.896	3.455	4.501
9	0.883	1.383	1.833	2.262	2.821	3.25	4.297
10	0.879	1.372	1.812	2.228	2.764	3.169	4.144
11	0.876	1.363	1.796	2.201	2.718	3.106	4.025
12	0.873	1.356	1.782	2.179	2.681	3.055	3.93
13	0.87	1.35	1.771	2.16	2.65	3.012	3.852
14	0.868	1.345	1.761	2.145	2.624	2.977	3.787
15	0.866	1.341	1.753	2.131	2.602	2.947	3.733
16	0.865	1.337	1.746	2.12	2.583	2.921	3.686
17	0.863	1.333	1.74	2.11	2.567	2.898	3.646
18	0.862	1.33	1.734	2.101	2.552	2.878	3.61
19	0.861	1.328	1.729	2.093	2.539	2.861	3.579
20	0.86	1.325	1.725	2.086	2.528	2.845	3.552
21	0.859	1.323	1.721	2.08	2.518	2.831	3.527
22	0.858	1.321	1.717	2.074	2.508	2.819	3.505
23	0.858	1.319	1.714	2.069	2.5	2.807	3.485
24	0.857	1.318	1.711	2.064	2.492	2.797	3.467
25	0.856	1.316	1.708	2.06	2.485	2.787	3.45
26	0.856	1.315	1.706	2.056	2.479	2.779	3.435
27	0.855	1.314	1.703	2.052	2.473	2.771	3.421
28	0.855	1.313	1.701	2.048	2.467	2.763	3.408
29	0.854	1.311	1.699	2.045	2.462	2.756	3.396
30	0.854	1.31	1.697	2.042	2.457	2.75	3.385
35	0.852	1.306	1.69	2.03	2.438	2.724	3.34
40	0.851	1.303	1.684	2.021	2.423	2.704	3.307
45	0.85	1.301	1.679	2.014	2.412	2.69	3.281
50	0.849	1.299	1.676	2.009	2.403	2.678	3.261
60	0.848	1.296	1.671	2	2.39	2.66	3.232
70	0.847	1.294	1.667	1.994	2.381	2.648	3.211
80	0.846	1.292	1.664	1.99	2.374	2.639	3.195
90	0.846	1.291	1.662	1.987	2.368	2.632	3.183
100	0.845	1.29	1.66	1.984	2.364	2.626	3.174
200	0.843	1.286	1.652	1.972	2.345	2.601	3.131
500	0.842	1.283	1.648	1.965	2.334	2.586	3.107
1000	0.842	1.282	1.646	1.962	2.33	2.581	3.098
